Identifier,Smiles,Activity_uM,Potentiation_pct
4,CCCCCCCCC1O[C@H](C2OC(=O)C(O)=C2O)CO1,0,0
5,CC1(O[C@H]([C@H]2OC(=O)C(O)=C2OC)CO1)C,0,0
6,CC1(O[C@H]([C@H]2OC(=O)C(O)=C2OCC2C=CC=CC=2)CO1)C,0,0
7,C=CCOC1C([C@@H]2OC(C)(C)OC2)OC(=O)C=1O,0,0
8,CCCOC1C(C2OC(C)(C)OC2)OC(=O)C=1O,0,0
9,CCCCOC1[C@@H]([C@@H]2OC(C)(C)OC2)OC(=O)C=1O,0,0
10,CC1(O[C@H]([C@H]2OC(=O)C(O)=C2OCC2CC2)CO1)C,0,0
11,CC1(O[C@H]([C@H]2OC(=O)C(O)=C2OCCC2CCCCC2)CO1)C,0,0
13,CC1(O[C@H]([C@H]2OC(=O)C(OC)=C2OC)CO1)C,0,0
14,CC1(O[C@H]([C@H]2OC(=O)C(OCC3C=CC=CC=3)=C2OCC2C=CC=CC=2)CO1)C,0,0
15,C=CCOC1C(C2OC(C)(C)OC2)OC(=O)C=1OCC=C,0,0
16,CCCOC1[C@H]([C@H]2OC(C)(C)OC2)OC(=O)C=1OCCC,0,0
17,CC1(O[C@H]([C@H]2OC(=O)C(OCC#N)=C2OCC#N)CO1)C,0,0
19,C=CCOC1[C@@H]([C@H](O)CO)OC(=O)C=1O,0,0
20,CCCCOC1[C@@H]([C@H](O)CO)OC(=O)C=1O,0,0
21,C1C(COC2[C@@H]([C@H](O)CO)OC(=O)C=2O)C1,0,0
22,COC1[C@@H]([C@H](O)CO)OC(=O)C=1OC,0,0
23,C(O)[C@H]1OC(=O)[C@H](O)[C@@H](O)[C@@H]1O,0,0
26,C(O)[C@H]([C@H]1OC(=O)[C@@H](O)[C@H]1O)O,0,0
27,CC1(O[C@H]([C@@H]2OC(=O)[C@@H]3OC(O[C@H]23)(C)C)CO1)C,0,0
28,C(O)[C@H]1OC(=O)[C@H](O)[C@@H]1O,0,0
29,C([C@@H](O)C1OC(=O)[C@@H](O)[C@H]1O)=O,0,0
30,C(O)[C@@H](O)[C@H]1OC2O[C@@H](O[C@@H]2[C@H]1O)C(Cl)(Cl)Cl,0,0
